ID,Age,Gender,Income,Debt_Ratio,Employment_Years,Loan_Amount,Loan_Approved
CLIENT_00169,66,Female,66814.47,0.597,21,5198.84,1
CLIENT_00170,27,Female,70810.31,0.197,33,21418.71,1
CLIENT_00171,49,Female,49105.34,0.707,14,44283.73,0
CLIENT_00172,49,Female,39754.08,0.393,9,24144.08,0
CLIENT_00173,65,Male,52469.62,0.201,14,27123.94,1
CLIENT_00174,65,Female,30824.3,0.275,28,32128.88,1
CLIENT_00175,41,Male,53677.62,0.264,22,42559.92,1
CLIENT_00176,51,Female,18000.0,0.465,16,5000.0,0
CLIENT_00177,32,Female,45858.64,0.237,8,33767.86,0
CLIENT_00178,49,Female,71893.52,0.149,8,20977.91,0
CLIENT_00179,46,Male,46886.17,0.149,15,27499.57,1
CLIENT_00180,60,Female,79549.65,0.517,32,40899.25,1
CLIENT_00181,54,Female,39725.09,0.638,30,7087.2,0
CLIENT_00182,22,Male,65053.02,0.307,5,9810.33,0
CLIENT_00183,48,Male,27434.6,0.078,9,5000.0,1
CLIENT_00184,34,Female,64239.13,0.152,15,16762.62,0
CLIENT_00185,62,Male,49651.9,0.782,3,44956.49,0
CLIENT_00186,24,Female,40604.99,0.445,21,23191.19,0
CLIENT_00187,60,Male,18000.0,0.413,12,5000.0,0
CLIENT_00188,27,Male,39912.46,0.08,15,17714.82,1
CLIENT_00189,29,Female,49269.06,0.633,28,5000.0,0
CLIENT_00190,48,Male,61574.19,0.472,5,8122.21,0
CLIENT_00191,30,Female,76219.0,0.212,25,30832.28,1
CLIENT_00192,58,Male,85700.65,0.138,10,7391.9,1
CLIENT_00193,54,Male,69925.35,0.357,23,41689.51,1
CLIENT_00194,63,Female,33758.19,0.72,28,23933.2,0
CLIENT_00195,65,Male,38903.92,0.742,2,26283.92,0
CLIENT_00196,45,Female,59778.31,0.532,9,20824.41,0
CLIENT_00197,36,Female,55392.29,0.632,0,36592.72,0
CLIENT_00198,53,Female,77566.92,0.142,25,36747.4,1
CLIENT_00199,53,Male,94587.79,0.521,11,30025.82,1
CLIENT_00200,45,Male,90343.6,0.584,13,33471.84,1
CLIENT_00201,62,Female,74878.76,0.211,24,21818.65,1
CLIENT_00202,33,Female,55558.05,0.754,7,33133.05,0
CLIENT_00203,60,Female,71986.5,0.206,3,19931.83,0
CLIENT_00204,23,Male,78228.82,0.301,27,25033.47,1
CLIENT_00205,24,Male,42053.99,0.546,6,20880.34,0
CLIENT_00206,58,Female,34346.78,0.561,9,18141.72,0
CLIENT_00207,38,Female,29651.58,0.61,1,14663.32,0
CLIENT_00208,23,Female,27472.31,0.14,25,32015.35,0
CLIENT_00209,23,Female,18000.0,0.73,13,44659.09,0
CLIENT_00210,49,Female,49998.03,0.476,15,42566.53,0
CLIENT_00211,44,Male,25004.94,0.427,16,6151.52,0
CLIENT_00212,58,Male,29329.56,0.835,21,44338.05,0
CLIENT_00213,53,Male,59025.11,0.642,3,20227.62,0
CLIENT_00214,54,Male,48632.18,0.144,18,34011.0,1
CLIENT_00215,22,Female,53592.5,0.655,1,11406.77,0
CLIENT_00216,40,Male,72302.98,0.126,8,27129.7,1
CLIENT_00217,23,Female,62290.6,0.072,18,29705.85,1
CLIENT_00218,65,Male,75377.73,0.373,15,5000.0,1
CLIENT_00219,47,Male,46599.53,0.845,24,34124.01,0
CLIENT_00220,53,Male,77235.81,0.19,17,45189.03,1
CLIENT_00221,27,Male,52194.74,0.588,22,22380.28,0
CLIENT_00222,53,Female,48374.13,0.189,20,45402.52,0
CLIENT_00223,25,Male,74230.52,0.63,10,22154.6,0
CLIENT_00224,32,Female,27556.93,0.454,3,37743.77,0
CLIENT_00225,38,Male,85472.01,0.594,24,5000.0,1
CLIENT_00226,59,Male,39358.0,0.212,31,61281.67,1
CLIENT_00227,45,Male,20637.84,0.647,29,47431.87,0
CLIENT_00228,26,Female,58070.04,0.846,25,20730.62,0
CLIENT_00229,55,Female,37453.57,0.583,33,5000.0,1
CLIENT_00230,27,Male,85516.14,0.445,8,29320.43,0
CLIENT_00231,43,Male,36341.98,0.789,11,5000.0,0
CLIENT_00232,32,Female,51288.98,0.063,1,31672.8,0
CLIENT_00233,69,Male,18000.0,0.634,4,31173.49,0
CLIENT_00234,37,Male,61258.28,0.761,4,10878.95,0
CLIENT_00235,54,Female,29452.2,0.099,21,41814.51,0
CLIENT_00236,30,Female,58866.49,0.41,4,37083.62,0
CLIENT_00237,27,Male,36433.1,0.214,3,39637.35,0
CLIENT_00238,37,Female,18000.0,0.503,8,25132.87,0
CLIENT_00239,50,Female,47623.8,0.57,28,5000.0,1
CLIENT_00240,24,Male,46728.57,0.292,21,39668.08,0
CLIENT_00241,41,Female,62621.43,0.418,26,20944.43,0
CLIENT_00242,57,Female,76120.01,0.273,9,5000.0,1
CLIENT_00243,40,Male,83248.19,0.346,15,45280.59,1
CLIENT_00244,47,Male,62283.08,0.178,9,56491.11,1
CLIENT_00245,24,Male,50572.38,0.758,5,24381.28,0
CLIENT_00246,40,Female,18000.0,0.058,4,57386.82,0
CLIENT_00247,41,Male,49040.42,0.756,5,26369.72,0
CLIENT_00248,53,Female,49298.8,0.507,24,19293.16,0
CLIENT_00249,28,Female,41027.19,0.315,3,15543.12,0
CLIENT_00250,62,Male,57659.35,0.628,31,49556.24,1
CLIENT_00251,54,Female,67438.11,0.456,34,13297.84,1
CLIENT_00252,61,Male,28631.92,0.449,9,36029.04,0
CLIENT_00253,60,Female,28320.31,0.138,33,16612.54,1
CLIENT_00254,39,Female,42214.16,0.362,5,18095.4,0
CLIENT_00255,61,Male,32695.42,0.243,15,40453.75,0
CLIENT_00256,22,Male,18000.0,0.063,18,19299.45,0
CLIENT_00257,32,Male,25068.15,0.338,33,18928.07,1
CLIENT_00258,49,Male,20353.58,0.122,24,41992.07,1
CLIENT_00259,46,Male,69169.01,0.255,30,48960.96,1
CLIENT_00260,44,Male,79056.54,0.124,16,34670.35,1
CLIENT_00261,52,Female,23091.33,0.131,29,15178.45,1
CLIENT_00262,51,Male,55921.47,0.209,30,17340.87,1
CLIENT_00263,63,Male,62470.33,0.85,18,26198.73,0
CLIENT_00264,56,Female,18000.0,0.052,34,29813.95,1
CLIENT_00265,28,Male,48219.58,0.561,28,10182.01,1
CLIENT_00266,37,Female,95670.32,0.163,0,35845.57,0
CLIENT_00267,47,Female,58542.94,0.787,3,26282.7,0
CLIENT_00268,69,Female,40093.99,0.125,27,5000.0,1
CLIENT_00269,23,Male,33796.27,0.814,17,11066.1,0
CLIENT_00270,22,Male,18000.0,0.539,25,17438.07,0
CLIENT_00271,69,Male,54409.47,0.051,18,23907.13,1
CLIENT_00272,33,Female,83956.34,0.765,5,53339.18,0
CLIENT_00273,26,Male,28729.12,0.467,0,28572.57,0
CLIENT_00274,58,Male,18000.0,0.26,7,12388.42,0
CLIENT_00275,53,Female,31715.52,0.664,32,28309.46,0
CLIENT_00276,30,Male,62631.99,0.791,20,19718.68,0
CLIENT_00277,62,Male,36430.0,0.437,23,29871.37,1
CLIENT_00278,56,Male,28590.64,0.302,24,33708.52,1
CLIENT_00279,40,Female,45383.1,0.681,18,43138.46,0
CLIENT_00280,69,Male,49594.01,0.595,28,24635.7,1
CLIENT_00281,37,Female,18000.0,0.761,9,49584.41,0
CLIENT_00282,24,Female,40654.33,0.604,11,38620.34,0
CLIENT_00283,41,Male,35054.65,0.245,32,14388.41,1
CLIENT_00284,45,Female,32181.91,0.795,6,58147.83,0
CLIENT_00285,54,Male,24659.27,0.134,16,29904.92,0
CLIENT_00286,45,Male,63825.16,0.264,9,12473.13,1
CLIENT_00287,32,Female,32112.26,0.466,30,49793.7,0
CLIENT_00288,29,Female,18000.0,0.503,5,56166.66,0
CLIENT_00289,57,Female,50285.96,0.062,16,24504.62,1
CLIENT_00290,59,Male,59503.99,0.674,17,17445.25,0
CLIENT_00291,61,Male,29079.68,0.339,25,22414.38,1
CLIENT_00292,41,Male,33806.75,0.375,15,35720.98,0
CLIENT_00293,56,Male,32018.93,0.697,7,44167.85,0
CLIENT_00294,69,Male,38066.93,0.353,23,33557.31,1
CLIENT_00295,46,Male,67137.0,0.088,12,26525.85,1
CLIENT_00296,56,Male,42718.82,0.191,28,47470.18,1
CLIENT_00297,46,Male,61791.87,0.815,31,20307.45,1
CLIENT_00298,50,Male,25623.37,0.106,23,40463.79,1
CLIENT_00299,39,Male,37326.19,0.334,15,20679.06,0
CLIENT_00300,67,Female,64080.28,0.453,10,31465.34,0
CLIENT_00301,39,Male,28887.89,0.445,31,23296.56,1
CLIENT_00302,23,Female,65242.73,0.053,5,24162.22,0
CLIENT_00303,56,Female,32432.32,0.451,34,19339.2,1
CLIENT_00304,37,Male,38566.75,0.357,32,45172.81,1
CLIENT_00305,62,Female,78403.25,0.828,17,14006.11,0
CLIENT_00306,57,Female,36283.62,0.177,12,13896.52,0
CLIENT_00307,54,Female,47906.92,0.333,9,56814.9,0
CLIENT_00308,25,Male,57328.73,0.386,25,39667.71,1
CLIENT_00309,54,Male,49530.17,0.363,16,5000.0,1
CLIENT_00310,35,Male,50101.07,0.583,0,16521.12,0
CLIENT_00311,42,Female,43869.21,0.222,24,5000.0,1
CLIENT_00312,69,Female,18955.22,0.227,33,10739.64,1
CLIENT_00313,41,Female,51965.79,0.633,9,5000.0,0
CLIENT_00314,29,Female,30350.63,0.45,19,22945.16,0
CLIENT_00315,28,Female,60515.34,0.382,6,7870.87,0
CLIENT_00316,24,Male,72441.23,0.185,15,25898.58,1
CLIENT_00317,38,Male,18000.0,0.2,28,5000.0,1
CLIENT_00318,54,Female,72476.16,0.058,11,26243.68,1
CLIENT_00319,69,Male,36778.84,0.123,16,18776.26,1
CLIENT_00320,33,Male,42381.02,0.495,19,47529.29,0
CLIENT_00321,43,Male,26752.25,0.763,25,46170.35,0
CLIENT_00322,43,Male,48769.35,0.28,18,36780.18,1
CLIENT_00323,67,Female,46336.3,0.312,11,20100.79,0
CLIENT_00324,51,Female,66538.46,0.142,20,54780.71,1
CLIENT_00325,59,Female,30172.13,0.361,33,5000.0,1
CLIENT_00326,59,Female,78216.05,0.08,6,5000.0,1
CLIENT_00327,66,Male,58294.28,0.784,34,23743.25,1
CLIENT_00328,29,Male,46819.38,0.588,14,58810.57,0
CLIENT_00329,48,Female,41384.31,0.843,0,21964.92,0
CLIENT_00330,48,Male,38868.61,0.756,25,22251.32,0
CLIENT_00331,55,Female,40173.12,0.428,34,5000.0,1
CLIENT_00332,42,Female,48368.04,0.466,24,39188.94,0
CLIENT_00333,51,Male,40820.0,0.202,14,39297.64,0
CLIENT_00334,54,Female,32189.41,0.42,21,36836.13,0
CLIENT_00335,49,Female,48489.19,0.772,5,15561.69,0
CLIENT_00336,68,Female,28274.24,0.091,14,14399.4,1
CLIENT_00337,54,Male,51449.34,0.741,23,5603.17,1
CLIENT_00338,26,Male,40538.66,0.323,20,26258.09,0
CLIENT_00339,69,Male,58934.62,0.77,6,8793.89,0
CLIENT_00340,40,Male,64781.48,0.803,28,7338.75,1
CLIENT_00341,25,Male,64773.61,0.587,31,18644.64,1
CLIENT_00342,56,Female,51362.1,0.582,31,17662.66,0
CLIENT_00343,38,Male,53696.62,0.412,4,16930.32,0
CLIENT_00344,65,Female,38544.98,0.718,3,31996.67,0
CLIENT_00345,49,Female,58552.79,0.819,21,26185.72,0
CLIENT_00346,51,Female,60810.03,0.67,17,20677.66,0
CLIENT_00347,50,Male,18000.0,0.548,34,27745.19,1
CLIENT_00348,67,Female,52566.94,0.535,16,10127.09,0
CLIENT_00349,27,Male,72362.6,0.73,23,26579.18,0
CLIENT_00350,56,Male,37874.19,0.483,1,27259.04,0
CLIENT_00351,62,Female,33509.06,0.693,12,5000.0,0
CLIENT_00352,58,Male,36602.73,0.457,14,39935.41,0
CLIENT_00353,45,Male,18000.0,0.1,4,11778.49,0
CLIENT_00354,50,Female,47519.68,0.357,2,26354.65,0
CLIENT_00355,67,Male,45599.31,0.406,2,42466.18,0
CLIENT_00356,52,Male,48940.54,0.163,34,38885.15,1
CLIENT_00357,56,Male,53319.53,0.132,22,25515.0,1
CLIENT_00358,54,Female,29040.13,0.478,27,19562.51,0
CLIENT_00359,42,Female,50463.98,0.118,29,39212.68,1
CLIENT_00360,53,Male,53863.97,0.292,17,35120.42,1
CLIENT_00361,44,Male,35232.17,0.646,32,15724.52,1
CLIENT_00362,54,Male,53402.36,0.822,25,13076.6,0
CLIENT_00363,24,Male,46614.13,0.624,16,5000.0,0
CLIENT_00364,39,Female,32376.2,0.844,6,27310.48,0
CLIENT_00365,46,Male,50655.77,0.609,7,23759.53,0
CLIENT_00366,63,Male,39185.79,0.285,30,42042.87,1
CLIENT_00367,52,Female,58941.31,0.588,11,30385.83,0
CLIENT_00368,24,Female,40216.67,0.612,30,45013.44,0
CLIENT_00369,61,Female,19204.69,0.347,18,14539.54,0
CLIENT_00370,67,Male,50339.74,0.064,9,42072.25,1
CLIENT_00371,45,Male,49588.06,0.613,11,17066.25,0
CLIENT_00372,53,Male,23377.26,0.067,19,36663.94,1
CLIENT_00373,68,Male,60010.72,0.555,6,5000.0,0
CLIENT_00374,43,Female,58964.42,0.181,13,28527.03,0
CLIENT_00375,44,Female,27600.4,0.502,10,5000.0,0
CLIENT_00376,23,Female,31807.47,0.453,6,20992.94,0
CLIENT_00377,48,Female,42159.85,0.061,28,31605.31,1
CLIENT_00378,63,Male,29822.96,0.34,9,17185.47,0
CLIENT_00379,23,Female,57807.94,0.531,28,9243.44,0
CLIENT_00380,47,Male,47979.44,0.729,8,37691.78,0
CLIENT_00381,38,Female,23128.86,0.761,9,23448.06,0
CLIENT_00382,61,Male,28550.58,0.437,18,17656.44,0
CLIENT_00383,54,Male,68754.38,0.633,30,25628.44,1
CLIENT_00384,30,Male,75711.25,0.303,16,64550.04,1
CLIENT_00385,64,Female,55774.58,0.324,8,42302.54,0
CLIENT_00386,69,Male,40774.49,0.206,32,42438.61,1
CLIENT_00387,60,Male,36200.74,0.5,33,31533.19,1
CLIENT_00388,50,Male,55993.99,0.302,23,27497.28,1
CLIENT_00389,63,Female,46518.41,0.117,8,5000.0,1
CLIENT_00390,47,Female,18000.0,0.598,6,14815.29,0
CLIENT_00391,56,Female,65637.36,0.616,15,17791.38,0
CLIENT_00392,46,Male,71916.07,0.338,18,5000.0,1
CLIENT_00393,45,Female,59745.05,0.111,5,7638.76,0
CLIENT_00394,34,Male,23167.78,0.391,10,5000.0,0
CLIENT_00395,28,Female,32263.47,0.404,11,24425.14,0
CLIENT_00396,57,Female,18000.0,0.585,12,37281.49,0
CLIENT_00397,66,Male,76920.97,0.302,11,41601.62,1
CLIENT_00398,41,Male,37865.23,0.596,20,31221.77,0
CLIENT_00399,22,Male,91665.79,0.747,9,10549.05,0
CLIENT_00400,29,Male,84104.6,0.24,19,5000.0,1
CLIENT_00401,67,Male,26931.47,0.833,27,5000.0,0
CLIENT_00402,37,Female,30834.65,0.359,23,5965.26,0
CLIENT_00403,35,Male,54323.81,0.264,4,11667.1,0
CLIENT_00404,33,Male,18000.0,0.387,11,22603.77,0
CLIENT_00405,44,Male,36234.82,0.126,34,9787.54,1
CLIENT_00406,36,Male,34236.82,0.151,1,30084.64,0
CLIENT_00407,49,Female,82023.32,0.382,8,21515.9,0
CLIENT_00408,55,Male,48220.36,0.66,21,25158.19,0
CLIENT_00409,23,Female,39304.66,0.77,4,42103.76,0
CLIENT_00410,53,Female,32370.31,0.582,11,7296.52,0
CLIENT_00411,44,Female,62880.99,0.134,0,31280.57,0
CLIENT_00412,43,Female,35065.78,0.588,21,24790.4,0
CLIENT_00413,46,Male,43994.34,0.558,18,19997.71,0
CLIENT_00414,43,Female,32217.53,0.695,15,38278.84,0
CLIENT_00415,43,Male,18000.0,0.71,30,38185.21,0
CLIENT_00416,63,Male,25079.3,0.745,2,10802.64,0
CLIENT_00417,27,Female,34960.57,0.381,22,22267.59,0
CLIENT_00418,36,Female,39734.9,0.608,17,29218.18,0
CLIENT_00419,64,Female,40611.52,0.265,25,20904.9,1
CLIENT_00420,58,Male,43221.61,0.849,12,33775.32,0
CLIENT_00421,54,Male,35226.25,0.19,17,29217.88,1
CLIENT_00422,29,Female,71982.53,0.058,2,52488.42,0
CLIENT_00423,65,Male,63959.68,0.169,22,5000.0,1
CLIENT_00424,65,Female,42297.81,0.671,2,23163.46,0
CLIENT_00425,26,Female,50085.17,0.407,24,11372.46,0
CLIENT_00426,60,Male,37558.24,0.408,26,34061.61,1
CLIENT_00427,25,Male,18000.0,0.814,26,5000.0,0
CLIENT_00428,27,Male,45409.86,0.786,24,30194.69,0
CLIENT_00429,66,Male,51112.29,0.299,23,15549.27,1
CLIENT_00430,53,Female,18000.0,0.217,7,13987.57,0
CLIENT_00431,51,Male,54988.22,0.729,8,5000.0,0
CLIENT_00432,68,Female,39388.47,0.775,29,18023.86,0
CLIENT_00433,56,Male,51758.67,0.483,18,41267.51,0
CLIENT_00434,61,Female,39992.03,0.554,15,24622.17,0
